SKU,Item Name,Item Type,Quantity,Reorder Threshold,Expiration Date
EQP-001,ICU Bed (Neuro Positioning),Equipment,178,35,
EQP-002,Ventilator (Neuro Settings),Equipment,86,17,
EQP-003,Cardiac Monitor (ECG),Equipment,131,26,
EQP-004,Defibrillator / AED,Equipment,23,5,
EQP-005,Infusion Pump (IV and Syringe),Equipment,80,16,
EQP-006,Suction Machine,Equipment,69,13,
EQP-007,Pulse Oximeter,Equipment,66,13,
EQP-008,ICP Monitor & Transducers,Equipment,23,5,
EQP-009,External Ventricular Drain (EVD Kit),Equipment,20,5,
EQP-010,Continuous EEG Machine & Electrodes,Equipment,107,21,
EQP-011,Brain Tissue Oxygen Monitor,Equipment,110,22,
EQP-012,Arterial Line Kit,Equipment,49,9,
EQP-013,Central Venous Catheter Kit,Equipment,97,19,
EQP-014,Endotracheal Tubes (various sizes),Equipment,110,22,
EQP-015,Nasogastric Tubes / Feeding Tubes,Equipment,34,6,
EQP-016,Foley Catheters (various sizes),Equipment,20,5,
EQP-017,Lumbar Puncture Kit,Equipment,171,34,
EQP-018,Head Immobilizer / Cervical Collar,Equipment,20,5,
EQP-019,Cooling / Therapeutic Hypothermia Device,Equipment,112,22,
EQP-020,Blood Gas Analyzer,Equipment,24,5,
EQP-021,Portable Ultrasound Machine,Equipment,63,12,
EQP-022,Neuromuscular Blockade Delivery Equip,Equipment,109,21,
EQP-023,"Oxygen Delivery Devices (Masks, Cannulas)",Equipment,126,25,
EQP-024,Respiratory Humidifiers,Equipment,98,19,
EQP-025,Blood Pressure Cuffs (all sizes),Equipment,60,12,
EQP-026,Additional Equipment 1,Equipment,185,37,
EQP-027,Additional Equipment 2,Equipment,72,14,
EQP-028,Additional Equipment 3,Equipment,191,38,
EQP-029,Additional Equipment 4,Equipment,120,24,
EQP-030,Additional Equipment 5,Equipment,181,36,
EQP-031,Additional Equipment 6,Equipment,108,21,
EQP-032,Additional Equipment 7,Equipment,121,24,
EQP-033,Additional Equipment 8,Equipment,175,35,
EQP-034,Additional Equipment 9,Equipment,100,20,
EQP-035,Additional Equipment 10,Equipment,92,18,
EQP-036,Additional Equipment 11,Equipment,62,12,
EQP-037,Additional Equipment 12,Equipment,160,32,
EQP-038,Additional Equipment 13,Equipment,151,30,
EQP-039,Additional Equipment 14,Equipment,107,21,
EQP-040,Additional Equipment 15,Equipment,189,37,
CON-001,Sterile Gloves (various sizes),Consumable,178,35,2026-01-05
CON-002,Non-sterile Gloves,Consumable,134,26,2025-09-21
CON-003,"Surgical Face Masks (surgical, N95)",Consumable,95,19,2026-04-30
CON-004,Disposable Isolation Gowns,Consumable,163,32,2026-06-09
CON-005,Sterile Gauze Pads (multiple sizes),Consumable,19,5,2025-08-21
CON-006,Non-sterile Gauze Pads,Consumable,154,30,2026-05-21
CON-007,Alcohol Prep Pads / Wipes,Consumable,159,31,2025-12-17
CON-008,Chlorhexidine Wipes,Consumable,16,5,2026-01-31
CON-009,Surgical Drapes and Towels,Consumable,187,37,2026-04-10
CON-010,Adhesive Surgical Tape (various widths),Consumable,98,19,2025-09-05
CON-011,Transparent Film Dressings (Tegaderm),Consumable,145,29,2026-01-04
CON-012,IV Cannulas (various gauges),Consumable,104,20,2026-05-11
CON-013,"Syringes (1ml, 3ml, 5ml, 10ml, 20ml, 60ml)",Consumable,120,24,2025-08-12
CON-014,Needles (various sizes),Consumable,122,24,2026-07-02
CON-015,"Sterile Water and Saline (vials, bags)",Consumable,135,27,2026-01-11
CON-016,"IV Fluids (Normal Saline, LR, Dextrose)",Consumable,46,9,2026-01-18
CON-017,Suction Catheters (sterile),Consumable,12,5,2025-11-24
CON-018,Endotracheal Tube Holders,Consumable,130,26,2025-12-11
CON-019,Feeding Syringes,Consumable,21,5,2026-02-10
CON-020,"Specimen Containers (urine, sputum, blood culture)",Consumable,100,20,2025-09-06
CON-021,Sharps Disposal Containers,Consumable,21,5,2025-08-22
CON-022,Biohazard Waste Bags,Consumable,180,36,2026-01-05
CON-023,Bedpans and Urinals,Consumable,192,38,2026-03-24
CON-024,Oral Care Swabs and Suction Toothbrushes,Consumable,123,24,2026-03-28
CON-025,Blood Collection Tubes and Butterfly Needles,Consumable,137,27,2025-12-03
CON-026,Blood Tubing and IV Extension Sets,Consumable,80,16,2025-08-26
CON-027,Nebulizer Kits and Masks,Consumable,129,25,2026-06-18
CON-028,Tape Removers,Consumable,60,12,2026-06-25
CON-029,Cotton Balls and Cotton Tipped Applicators,Consumable,57,11,2025-11-04
CON-030,Disposable Thermometers and Covers,Consumable,88,17,2025-12-02
CON-031,Pressure Relief Mattress Covers or Overlays,Consumable,198,39,2025-09-13
CON-032,Additional Consumable 1,Consumable,129,25,2025-12-06
CON-033,Additional Consumable 2,Consumable,195,39,2026-04-26
CON-034,Additional Consumable 3,Consumable,85,17,2026-01-09
CON-035,Additional Consumable 4,Consumable,161,32,2025-09-03
CON-036,Additional Consumable 5,Consumable,160,32,2026-05-24
CON-037,Additional Consumable 6,Consumable,119,23,2025-09-15
CON-038,Additional Consumable 7,Consumable,185,37,2026-02-23
CON-039,Additional Consumable 8,Consumable,103,20,2026-03-05
CON-040,Additional Consumable 9,Consumable,117,23,2025-09-11
CON-041,Additional Consumable 10,Consumable,97,19,2026-06-05
MED-001,Propofol (Sedative),Medication,197,39,2025-09-19
MED-002,Midazolam (Sedative),Medication,44,8,2025-11-27
MED-003,Lorazepam (Sedative),Medication,170,34,2026-06-21
MED-004,Morphine (Analgesic),Medication,50,10,2025-10-11
MED-005,Fentanyl (Analgesic),Medication,169,33,2026-03-11
MED-006,Acetaminophen (Analgesic/Antipyretic),Medication,108,21,2026-03-29
MED-007,Norepinephrine (Vasopressor),Medication,109,21,2025-08-24
MED-008,Dopamine (Vasopressor),Medication,28,5,2026-02-20
MED-009,Phenylephrine (Vasopressor),Medication,93,18,2025-12-31
MED-010,Mannitol (Osmotic Diuretic),Medication,166,33,2025-10-10
MED-011,Hypertonic Saline (Osmotic Diuretic),Medication,139,27,2026-01-13
MED-012,Levetiracetam (Antiepileptic),Medication,137,27,2025-11-05
MED-013,Phenytoin (Antiepileptic),Medication,30,6,2026-01-04
MED-014,Valproate (Antiepileptic),Medication,65,13,2026-05-25
MED-015,Vecuronium (Neuromuscular Blocker),Medication,74,14,2026-05-25
MED-016,Cisatracurium (Neuromuscular Blocker),Medication,175,35,2026-02-08
MED-017,Acetaminophen (Antipyretic),Medication,189,37,2026-04-07
MED-018,Ibuprofen (Antipyretic),Medication,66,13,2025-11-14
MED-019,Dexamethasone (Corticosteroid),Medication,134,26,2025-12-16
MED-020,Hydrocortisone (Corticosteroid),Medication,10,5,2025-11-15
MED-021,Labetalol (Blood Pressure Med),Medication,29,5,2025-10-07
MED-022,Nicardipine (Blood Pressure Med),Medication,113,22,2025-11-09
MED-023,Heparin (Anticoagulant),Medication,43,8,2026-04-05
MED-024,Enoxaparin (Anticoagulant),Medication,199,39,2026-02-19
MED-025,Protamine (Heparin Reversal),Medication,10,5,2025-11-15
MED-026,Potassium Chloride (Electrolyte),Medication,190,38,2025-11-18
MED-027,Magnesium Sulfate (Electrolyte),Medication,137,27,2026-01-17
MED-028,Epinephrine (Emergency Med),Medication,165,33,2026-03-14
MED-029,Atropine (Emergency Med),Medication,64,12,2026-04-19
MED-030,Insulin,Medication,179,35,2025-11-18
MED-031,Ranitidine (Gastric Protectant),Medication,53,10,2026-03-29
MED-032,Pantoprazole (Gastric Protectant),Medication,179,35,2026-05-17
MED-033,Broad Spectrum Antibiotics,Medication,169,33,2026-06-11
MED-034,Targeted Antibiotics,Medication,86,17,2025-12-06
MED-035,Thrombolytics,Medication,148,29,2025-08-27
MED-036,Packed RBCs (Blood Product),Medication,124,24,2026-06-04
MED-037,Plasma (Blood Product),Medication,77,15,2026-01-27
MED-038,Platelets (Blood Product),Medication,40,8,2025-12-11
MED-039,Enteral Nutrition Formulas,Medication,159,31,2025-10-25
MED-040,Parenteral Nutrition Formulas,Medication,81,16,2026-02-21
LAB-001,Blood Gas Analyzer Cartridges,Diagnostic,82,16,2025-12-22
LAB-002,Glucometer Strips and Lancets,Diagnostic,123,24,2026-06-18
LAB-003,Urine Test Strips,Diagnostic,36,7,2025-12-29
LAB-004,"Culture Swabs (Wound, Blood, Sputum)",Diagnostic,36,7,2026-05-12
LAB-005,Lab Tubes and Labels,Diagnostic,193,38,2026-01-13
LAB-006,Coagulation Testing Kits,Diagnostic,27,5,2025-12-08
LAB-007,Blood Draw Supplies,Diagnostic,84,16,2025-08-09
CLN-001,"Disinfectant Sprays and Wipes (Bleach, Alcohol)",Cleaning,179,35,
CLN-002,Hand Sanitizer (Alcohol Based),Cleaning,22,5,
CLN-003,Mop Heads and Cleaning Cloths,Cleaning,11,5,
CLN-004,Laundry Bags for Soiled Linens,Cleaning,74,14,
CLN-005,Equipment Sterilization Wraps and Indicators,Cleaning,66,13,
MSC-001,Patient Charts and Documentation Forms,Misc,38,7,
MSC-002,Clipboards and Pens,Misc,180,36,
MSC-003,"Communication Devices (Call Buttons, Intercom)",Misc,94,18,
MSC-004,Batteries and Power Cords for Devices,Misc,84,16,
MSC-005,Positioning Pillows and Bolsters,Misc,40,8,
MSC-006,"Emergency Airway Kits (Laryngoscopes, ET Tubes, Stylets)",Misc,27,5,
MSC-007,Specimen Transport Containers,Misc,187,37,
